code,name,site,city,country,floors,areaSqm
E-B52,E-B52,0169,OXAGON,Saudi Arabia,2,0
E-B53,E-B53,0169,OXAGON,Saudi Arabia,2,0
E-B54,E-B54,0169,OXAGON,Saudi Arabia,2,0
E-B55,E-B55,0169,OXAGON,Saudi Arabia,2,0
E-B56,E-B56,0169,OXAGON,Saudi Arabia,2,0
W-C01,W-C01,0169,OXAGON,Saudi Arabia,2,0
W-C02,W-C02,0169,OXAGON,Saudi Arabia,2,0
W-C03,W-C03,0169,OXAGON,Saudi Arabia,2,0
W-C04,W-C04,0169,OXAGON,Saudi Arabia,2,0
W-C05,W-C05,0169,OXAGON,Saudi Arabia,2,0
W-C06,W-C06,0169,OXAGON,Saudi Arabia,2,0
W-C07,W-C07,0169,OXAGON,Saudi Arabia,2,0
W-C08,W-C08,0169,OXAGON,Saudi Arabia,2,0
W-C09,W-C09,0169,OXAGON,Saudi Arabia,2,0
W-C10,W-C10,0169,OXAGON,Saudi Arabia,2,0
